Name	Formula	Mass	Frequency [meV]	Reference_Alpha	Reference_ZPR
mp-2691	CdSe	0.047837126088999996	0.040298	0.09355	-2.173321
mp-2695	Sb2Os	0.734263899664	0.215758	0.439152	-10.853402
mp-2697	SrO2	0.643715777761	0.095211	3.780122	-176.625097
mp-27138	K2PdBr4	0.9042260244639999	0.321391	4.475054	-67.530827
mp-27193	RbIO3	0.6311778140890001	0.151578	3.638714	-111.554837
mp-27207	K2MgCl4	0.399649023684	0.296391	6.043493	-133.068503
mp-27227	LiAg3O2	2.025791429809	0.443557	1.145874	-46.647672
mp-27243	K2PtBr4	0.814990061824	0.321784	4.630259	-67.436821
mp-27255	Ga2TeS2	0.38003526089999995	0.388724	0.831106	-21.645843
mp-27294	Ca3AsBr3	0.787210788001	0.318603	2.478197	-66.747013
mp-27300	RbAuBr3	0.20605153704100002	0.584908	1.099842	-8.522297
mp-27303	NaAg3O2	1.602388881025	0.490193	1.008699	-36.298829
