Name	Formula	Mass	Frequency [meV]	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-1008506	BaGaSiH	0.46348863999999995	75.7797	0.1166284455627212	0.1166	-8.85087563594733	-8.8377	0.14908444445195845
mp-980057	SrAlGeH	0.34621456000000006	75.9291	0.158364378869847	0.1584	-12.048173714209481	-12.0239	0.2018788763170167
mp-979137	SrGaSiH	0.40538689000000006	77.7658	0.14089227240023885	0.1409	-10.97580335036424	-10.957	0.17161038937883616
mp-867339	CsK2Bi	0.06906383999999999	9.0007	0.3784366920105711	0.3784	-3.422429143115293	-3.406	0.48235887009080963
mp-288	PtS	1.1310322499999999	21.4754	0.1295584564710333	0.1296	-2.7868013012631168	-2.7824	0.15818362791535273
mp-2074	Li3Sb	0.38118275999999995	32.3332	0.6343094471230827	0.6343	-20.675364093281722	-20.5077	0.8175665397958921
mp-15724	KNa2Sb	0.08231161	16.7084	0.39732235042798764	0.3973	-6.671872873847635	-6.639	0.4951479717974768
mp-978847	SrGaGeH	0.391876	75.2157	0.08810405512455638	0.0881	-6.63405243550589	-6.6271	0.10490916850340569
mp-570485	SrAlSiH	0.32058244	79.0476	0.14663830934270342	0.1466	-11.612556710915937	-11.5903	0.1920287733357909
mp-2542	BeO	0.59737441	134.3207	1.3951282737054111	1.3952	-190.88058434330978	-187.3983	1.8582262183327019
mp-804	GaN	0.16908544	88.6998	0.3742599054929065	0.3742	-33.35321455930058	-33.1947	0.4775297240239701
mp-672	CdS	0.11826720999999998	35.844	0.3678259290214498	0.3678	-13.245393373553958	-13.1843	0.4633797285707786
mp-661	AlN	0.29615364	110.4629	0.617469685918777	0.6175	-68.74476290150822	-68.2084	0.7863590137112537
mp-570935	LiI	0.33120025000000003	40.9701	1.1038817242454468	1.1039	-45.880598539328936	-45.2264	1.4464970444893648
mp-2964	NaNO2	2.9179472399999997	70.9031	5.806448069102784	5.8068	-457.7727125710434	-411.7191	11.185687662059738
mp-2133	ZnO	0.14182756	66.4198	0.500341229868761	0.5004	-33.44334038137022	-33.2368	0.6214207786857265
mp-999498	N2	2.5619203600000002	95.0937	0.29923774993805136	0.2993	-28.562415602323558	-28.4607	0.35738967180553743
mp-5077	NaLi2Sb	0.27709696	28.0524	0.5410237523576032	0.5411	-15.281329599549169	-15.178	0.680785344242773
mp-12908	ScAgSe2	0.4447556100000001	30.204	0.4569492236415616	0.4569	-13.881453405686237	-13.8017	0.577852044938209
mp-10694	ScF3	10.94881921	74.5745	14.51826586130139	14.5184	-1880.5949232739213	-1082.7049	73.69413616525809
mp-10378	Cs3Sb	0.15856324	9.537	1.156393552046359	1.1565	-11.196214146035523	-11.0292	1.5142906651028474
mp-976280	LiBr	0.39363075999999997	46.7044	1.5342700758117385	1.5343	-73.13535476698237	-71.6582	2.061389718109554
mp-867193	Sr2BiAu	0.22657599999999997	14.2862	0.10005795197772588	0.1	-1.4312235667979125	-1.4293	0.134581039523718
mp-867169	Sr2SnHg	0.17791524	13.0065	0.028672968243837152	0.0287	-0.3730673620425033	-0.373	0.018059528821258424
mp-862947	Ba2BiAu	0.17909824000000002	11.8855	0.15142180504464234	0.1514	-1.8031156731265363	-1.7998	0.1842245319777889
mp-6980	ScCuS2	0.7788062499999999	41.57719999999999	0.5713232946333349	0.5713	-23.926716018352757	-23.7547	0.7241346695717344
mp-581024	CsK2Sb	0.13046544000000002	12.2046	0.903371820670767	0.9033	-11.154376461635987	-11.0242	1.1808245644671433
mp-23222	Li3Bi	0.36132120999999995	28.5669	0.4184970395353255	0.4185	-12.018307598734923	-11.9553	0.5270264964904575
mp-985586	Na3BrO	0.29300569	38.171	2.0516299108713834	2.0518	-80.54365987536748	-78.3206	2.8384101696967114
mp-505825	Cs2PtC2	0.41899728999999997	18.4725	1.5330723058519393	1.533	-28.90337701440293	-28.3188	2.0642718420375568
mp-29266	CsS	0.67848169	19.3337	2.950581822838287	2.9506	-59.53035768773765	-57.0468	4.353544261444378
mp-10919	Rb2PtC2	0.36192256	21.8493	1.329981516661207	1.33	-29.572509616875088	-29.0603	1.7625751175145694
mp-10550	SrMg2N2	0.19395216	64.0573	0.6893753763072246	0.6893	-44.5494082405457	-44.1551	0.8930072416226095
mp-7608	Li2PdO2	0.9916176400000001	76.6786	1.186597750219938	1.1867	-92.40872628178577	-90.9919	1.5570905561767296
