Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-541899	190.3844449487676	-57.641219	4.862099	-52.302663
mp-541989	796.9091221794451	-185.780581	3.901587	-178.80316
mp-5427	1999.3574259098975	-225.391048	3.317639	-214.947436
mp-543024	145.4596324570632	-12.517118	1.369989	-12.310308
mp-545359	368.43207552611534	-141.563022	4.441094	-133.102775
mp-545500	792.6746100988723	-136.770235	3.422767	-128.00492
mp-545544	788.6340855460502	-147.534184	2.111562	-137.122999
mp-546011	376.4432939191416	-29.834605	0.829635	-29.413096
mp-546125	1246.0403607813735	-156.134566	2.103849	-149.196103
mp-546500	592.2254771542257	-175.555002	4.347408	-171.498589
mp-546794	852.1747651907023	-225.463551	2.329442	-215.727928
mp-547244	725.8515561079225	-187.223209	5.039181	-168.408417
mp-5475	358.4706426917368	-107.732101	5.82953	-104.757716
mp-547792	1010.1910019642308	-133.525087	2.400151	-127.764689
mp-5478	318.06327970275873	-39.688189	4.837628	-38.855855
mp-5479	367.0607963608407	-263.895016	6.158456	-237.256023
mp-5488	701.2000490400484	-113.378102	1.785579	-108.930999
mp-549589	361.28318889019477	-26.869734	0.715489	-26.487972
mp-549697	903.3964675894023	-156.706701	3.086693	-149.652294
mp-549737	1372.136716202368	-202.430575	3.763285	-191.135301
mp-550685	298.33251156260127	-147.286259	2.913869	-141.396088
mp-550751	1149.767770127027	-186.128263	3.535443	-178.818109
mp-551092	1059.989071807604	-127.672751	2.483373	-122.010352
mp-551203	398.2740951204502	-83.46359	3.530714	-77.330695
mp-551243	658.6804982689013	-97.020902	2.993672	-91.846135
mp-551456	223.95402674196157	-137.395808	4.020573	-126.072392
mp-5518	194.95078215382486	-0.764831	0.038103	-0.764463
mp-551835	395.17101428224464	-81.923565	3.291974	-75.679549
mp-551873	231.31554862154596	-16.027078	0.728259	-15.873083
mp-552488	417.86411001966917	-51.017882	1.352888	-49.716115
mp-552537	232.9284581815751	-87.00911	2.590678	-83.004305
mp-552547	619.7601551809593	-104.550173	3.25923	-98.60591
mp-552663	1556.6878628083477	-201.153224	14.374467	-190.273944
mp-552806	650.6563352427394	-147.649474	4.061516	-135.68715
mp-552934	212.46095844671729	-112.95806	3.676257	-105.141961
