Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-571386	1.688746347104418	341.32392538401524	0.5026	7.373836367837005	72.00523726643756	31.3031552756
mp-571461	1.0169902707936758	631.4728066489153	0.4853	5.070855740519576	8.536193771843214	248.761161293
mp-573658	1.4013445046667599	150.57286987092283	0.6642	4.957865162164493	9.565197157484707	450.346167786
mp-573697	3.977764753199667	53.8288478823266	0.632	2.504263207147706	6.056812231929991	81.9150004325
mp-573721	1.1930407176381892	148.74733008971597	0.7949	6.28231792161611	10.48008255134785	346.668956412
mp-573755	1.4251159866969092	356.34786859035427	0.69	6.2295751341819185	9.503847504111382	229.983943496
mp-573763	2.174521407797388	369.89200547193485	0.5077	4.317293483046063	9.260667276630196	601.956538019
mp-574599	1.9106489228726964	258.0446328992421	0.6258	4.7277900056963595	8.468028777310362	211.213181145
mp-5782	0.3018691206198413	1036.5639760404163	0.453	6.147234725243829	8.253088088505635	165.518507643
mp-5784	1.7684461844655477	49.51988649664798	0.6485	2.7467884623916543	6.046956742593542	166.633088481
mp-5795	0.7350381323128333	286.57728876187684	0.465	5.806220592606134	17.22140870143356	65.0473757881
mp-581024	0.903371820670767	2102.783070483871	0.3612	7.661075803637868	17.978150551161605	155.736618664
mp-581833	2.940731274364586	15.585222013594692	0.8101	2.4576480123278577	6.23626003347277	76.9781312276
mp-5840	2.0469144421705927	18.47655871673307	0.8651	4.27195817221935	22.668590503566822	79.8722523948
mp-5858	3.769748126983446	3.098387122516973	1.6472	3.057813644101077	5.442354621541953	111.502442961
mp-5860	3.2003445946061837	11.43035719615186	1.0788	3.1255682091952486	6.592291758158863	104.726114768
mp-5878	3.504458617838088	24.127933507641934	0.6654	2.4210636328702044	9.843244054133644	66.241176093
mp-588	2.7931440973782404	23.135572610935323	0.7098	2.389506457099133	6.7157544639487226	93.8132495943
mp-5928	0.5628628056032146	433.12091568912984	0.5142	5.280146529389917	8.139191307549513	154.705756029
mp-5962	0.4983316452742449	2215.6129843524077	0.3324	7.727859303621572	16.46299079965684	136.609725085
mp-5967	0.47487473608777825	79.54223423925004	1.4662	19.863395127437574	30.612357863378204	49.3076440196
mp-602	0.04999090505885274	4252.5574902051885	0.6821	16.256780572227495	17.412119675137347	148.617084873
mp-6026	3.418829816343909	4.717802870594421	1.088	2.518504996545052	7.34818584401623	114.965661312
mp-608555	3.113645359604475	48.86183202339111	0.7395	2.9881249208852476	6.224502938587677	277.706841777
mp-6088	1.242593320594616	59.033151649386234	0.8928	7.61269595454755	20.77251346108815	129.575952344
mp-614603	3.4425252105661053	147.624358037867	0.577	2.878259629186911	5.5338958207683895	111.323579458
mp-6204	14.652372059689192	0.011718722960295688	2.9711	2.4108578047509504	8.012998902596149	169.644061506
mp-623024	6.952222627540298	1.0497743795108352	1.8374	2.4761719030245657	7.414681548245387	125.6944146
mp-625136	3.056909479478825	17.618522251410287	0.8107	3.1201737390646747	12.563436170600061	104.442845571
mp-626620	2.3480111403216384	38.233774982561286	0.6223	2.7107511755135674	9.36209437073191	90.3929884905
mp-626785	2.4370240249499835	27.14432952166751	0.6666	2.559341328108063	8.529476854210461	78.8033846736
mp-6270	2.4073977551777626	14.32606090543566	0.9871	4.734768496919196	24.93062362548756	131.235802832
mp-632319	1.8545173690564154	24.62839291152812	0.8103	3.9496234029480126	13.658931541789585	51.5558888804
mp-634657	1.9276904234217453	117.81434209068053	0.5827	3.5009169267090203	8.035637670744487	99.5482777546
mp-634676	2.7308403634377822	80.012306832636	0.6266	2.9732512129143434	6.614498216046542	133.999142446
mp-638729	6.5097209166972485	2.8822378766866983	1.5781	3.062876847277806	7.092935422708862	278.099301585
mp-6408	0.05988008005105609	14190.538798979776	0.3191	13.61919768820093	15.904345756082863	145.235767315
